epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.68134,1.90842,4.71534,1.46924,0.00546,0.02286,0.00336,0.00176,1.75939,4.54475,1.68784,2.307e-05,2.307e-05,2.307e-05
2,9.42211,1.93903,4.69197,1.47416,0.00538,0.03238,0.00332,0.00175,1.70178,4.43283,1.55985,5.32971e-05,5.32971e-05,5.32971e-05
3,14.1239,1.9578,4.6953,1.51647,0.01845,0.2186,0.03047,0.01743,1.5942,3.73464,1.26496,8.29151e-05,8.29151e-05,8.29151e-05
4,25.794,1.47841,2.75675,1.20005,0.71506,0.32143,0.29455,0.13495,1.64291,6.07173,1.17742,0.000111924,0.000111924,0.000111924
5,31.9678,1.30824,1.74019,1.10784,0.54668,0.4553,0.41833,0.21535,1.40577,3.87707,1.1289,0.000140324,0.000140324,0.000140324
6,37.9343,1.32708,1.56241,1.08745,0.62617,0.50167,0.5074,0.26232,1.40579,2.80059,1.14923,0.000168115,0.000168115,0.000168115
7,47.9703,1.26155,1.30658,1.07617,0.42688,0.64368,0.48857,0.26578,1.38077,2.18411,1.1507,0.000195297,0.000195297,0.000195297
8,54.7773,1.26998,1.21773,1.07258,0.67506,0.59301,0.70898,0.38173,1.29897,1.9797,1.11795,0.00022187,0.00022187,0.00022187
9,69.946,1.24271,1.22872,1.07503,0.53328,0.61751,0.63106,0.3537,1.28698,1.87479,1.10085,0.000247833,0.000247833,0.000247833
10,76.9171,1.25504,1.15884,1.09004,0.56839,0.73684,0.72606,0.43521,1.36342,2.283,1.15351,0.000273188,0.000273188,0.000273188
11,86.1694,1.24197,1.06203,1.10392,0.47089,0.62783,0.67166,0.38808,1.33381,1.73033,1.12952,0.000297934,0.000297934,0.000297934
12,92.7859,1.28601,1.00955,1.07759,0.80367,0.89328,0.84708,0.49527,1.27418,1.00112,1.12005,0.00032207,0.00032207,0.00032207
13,102.939,1.30994,1.0456,1.07737,0.73717,0.95931,0.85517,0.46477,1.37717,1.06891,1.20759,0.000345598,0.000345598,0.000345598
14,107.952,1.2827,0.97162,1.11958,0.80215,0.81011,0.84464,0.47658,1.32292,1.02858,1.19025,0.000368516,0.000368516,0.000368516
15,112.991,1.28187,0.97573,1.06874,0.59949,0.85006,0.78835,0.46705,1.29932,1.28149,1.13288,0.000390826,0.000390826,0.000390826
16,117.934,1.28891,1.01484,1.07403,0.6369,0.72284,0.70743,0.4365,1.30947,1.42531,1.11601,0.000412526,0.000412526,0.000412526
17,128.748,1.25423,0.94241,1.10214,0.6147,0.66737,0.64645,0.38866,1.33919,1.70844,1.15845,0.000433618,0.000433618,0.000433618
18,135.894,1.27648,0.91485,1.08222,0.64253,0.65104,0.64467,0.35715,1.38675,2.05098,1.19417,0.0004541,0.0004541,0.0004541
19,140.725,1.26699,0.87302,1.08838,0.64968,0.6104,0.59232,0.3411,1.43091,2.63506,1.20531,0.000473973,0.000473973,0.000473973
20,146.019,1.21333,0.86514,1.08199,0.7043,0.37315,0.43607,0.23303,1.57615,3.14122,1.3246,0.000493237,0.000493237,0.000493237
21,152.482,1.25166,0.8884,1.07484,0.60542,0.59126,0.62476,0.36311,1.36409,2.03175,1.19297,0.000511893,0.000511893,0.000511893
22,158.201,1.22992,0.77265,1.07943,0.84394,0.57964,0.69865,0.41202,1.35114,1.31121,1.15417,0.000529939,0.000529939,0.000529939
