epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.72427,1.7414,4.44979,1.42793,0.00014,0.01436,0.00037,0.00016,1.78586,4.55123,1.49782,4.614e-05,4.614e-05,4.614e-05
2,6.39144,1.61968,3.56365,1.38253,0.711,0.44849,0.37299,0.238,1.29632,2.90318,1.11668,9.94751e-05,9.94751e-05,9.94751e-05
3,10.9051,1.31096,1.69055,1.10632,0.65668,0.69223,0.75804,0.4289,1.25724,3.75749,1.15836,0.000152277,0.000152277,0.000152277
4,15.3204,1.24971,1.30422,1.09922,0.49454,0.75704,0.64194,0.38498,1.291,1.47749,1.16025,0.000204547,0.000204547,0.000204547
5,19.1789,1.23126,1.16915,1.10751,0.70936,0.28159,0.27963,0.15104,2.14597,31.4276,3.51394,0.000256283,0.000256283,0.000256283
6,22.9272,1.27987,1.08585,1.11409,0.60114,0.68264,0.5736,0.35672,1.35404,2.16358,1.17975,0.000307487,0.000307487,0.000307487
7,26.8375,1.24328,1.02639,1.13289,0.5094,0.27092,0.28167,0.12001,2.24795,4.08552,1.76964,0.000358157,0.000358157,0.000358157
8,30.8254,1.25853,1.15425,1.10914,0.36257,0.12011,0.06694,0.02577,2.68107,48.5528,2.11302,0.000408295,0.000408295,0.000408295
9,34.5382,1.22556,1.00391,1.11124,0.1414,0.20444,0.188,0.07903,2.67175,4.41935,1.92104,0.0004579,0.0004579,0.0004579
10,38.2035,1.2271,0.97727,1.09774,0.44459,0.2496,0.34404,0.19185,2.1625,3.15773,1.96194,0.000506971,0.000506971,0.000506971
11,41.8423,1.27601,1.08757,1.13258,0.50337,0.42283,0.46732,0.25798,1.73571,2.36223,1.49543,0.00055551,0.00055551,0.00055551
12,45.5727,1.34814,1.0921,1.18204,0.31846,0.2047,0.16418,0.09448,2.14376,36.4671,2.2522,0.000603516,0.000603516,0.000603516
13,49.2277,1.30646,0.97353,1.12353,0.45042,0.2839,0.20432,0.13203,1.77801,33.3115,1.96984,0.000650989,0.000650989,0.000650989
14,52.8702,1.287,1.04233,1.14145,0.16484,0.35793,0.16207,0.0939,1.97667,9.38691,2.16887,0.000697929,0.000697929,0.000697929
15,56.5184,1.24404,0.9679,1.10867,0.58126,0.27128,0.21399,0.14673,1.617,26.2941,1.48213,0.000715708,0.000715708,0.000715708
16,60.3847,1.25684,0.94094,1.12133,0.37795,0.27917,0.23543,0.15259,1.72361,inf,1.69782,0.000711902,0.000711902,0.000711902
17,63.9373,1.27454,0.87064,1.16627,0.42366,0.51083,0.41326,0.21047,1.63632,21.7437,1.54049,0.000708095,0.000708095,0.000708095
18,67.5509,1.23285,0.89256,1.09314,0.63734,0.48539,0.57486,0.30871,1.63708,3.45596,1.47439,0.000704289,0.000704289,0.000704289
19,71.2285,1.2442,0.84345,1.12756,0.53574,0.26946,0.25892,0.14918,2.02525,7.7436,2.01982,0.000700482,0.000700482,0.000700482
20,74.9068,1.25928,0.855,1.12316,0.69954,0.42637,0.49244,0.30479,1.56932,2.26879,1.53137,0.000696676,0.000696676,0.000696676
21,78.4954,1.27471,0.88687,1.10878,0.64392,0.55872,0.54801,0.29675,1.74737,2.56609,1.64816,0.000692869,0.000692869,0.000692869
22,82.1159,1.25113,0.83703,1.09221,0.72394,0.36518,0.4871,0.26393,2.16213,2.54101,2.15968,0.000689062,0.000689062,0.000689062
23,85.7705,1.24252,0.81324,1.07974,0.76249,0.7215,0.773,0.42488,1.55744,1.2464,1.38795,0.000685256,0.000685256,0.000685256
24,89.4203,1.25937,0.75664,1.09766,0.76008,0.89424,0.89381,0.49867,1.34458,1.0192,1.15036,0.000681449,0.000681449,0.000681449
25,93.4334,1.17931,0.75189,1.07561,0.83087,0.87397,0.90051,0.51141,1.31549,0.92831,1.17047,0.000677643,0.000677643,0.000677643
26,97.604,1.19162,0.79082,1.09449,0.85612,0.8835,0.90287,0.5232,1.26314,0.99566,1.12458,0.000673836,0.000673836,0.000673836
27,101.555,1.19493,0.73493,1.08431,0.79042,0.82199,0.89622,0.48925,1.28248,1.15497,1.16116,0.00067003,0.00067003,0.00067003
28,105.228,1.21955,0.80689,1.08395,0.77991,0.80921,0.8694,0.49966,1.28875,1.15947,1.15079,0.000666223,0.000666223,0.000666223
29,108.851,1.20815,0.70618,1.11682,0.90343,0.85409,0.91107,0.54179,1.26938,0.87326,1.11697,0.000662417,0.000662417,0.000662417
30,113.067,1.19016,0.72854,1.08528,0.89081,0.87067,0.91113,0.55134,1.29872,0.80594,1.1527,0.00065861,0.00065861,0.00065861
31,117.07,1.18976,0.73757,1.06227,0.88916,0.80157,0.88183,0.54242,1.23229,1.01373,1.09643,0.000654804,0.000654804,0.000654804
32,120.71,1.1854,0.70813,1.0594,0.88846,0.87881,0.92416,0.50868,1.26174,0.86691,1.11037,0.000650997,0.000650997,0.000650997
33,124.313,1.17379,0.719,1.06468,0.79962,0.89215,0.92661,0.50247,1.30938,0.90906,1.13522,0.00064719,0.00064719,0.00064719
34,127.94,1.15997,0.73069,1.06555,0.86875,0.83515,0.88027,0.51774,1.28101,1.05761,1.13021,0.000643384,0.000643384,0.000643384
35,131.67,1.16291,0.7395,1.0807,0.78026,0.84704,0.89704,0.51888,1.28218,1.17674,1.11515,0.000639577,0.000639577,0.000639577
36,135.37,1.15708,0.74001,1.07442,0.61862,0.75571,0.75676,0.44457,1.31237,1.35111,1.13276,0.000635771,0.000635771,0.000635771
37,138.968,1.16698,0.68544,1.05013,0.75826,0.74003,0.80284,0.4935,1.28486,1.21707,1.12336,0.000631964,0.000631964,0.000631964
38,142.658,1.16049,0.72051,1.0694,0.73066,0.8306,0.83541,0.47953,1.39059,1.1396,1.15476,0.000628158,0.000628158,0.000628158
39,146.32,1.1518,0.66799,1.06262,0.85951,0.89503,0.9011,0.5593,1.21684,0.80967,1.0833,0.000624351,0.000624351,0.000624351
40,150.392,1.12716,0.66716,1.06383,0.82229,0.87237,0.90945,0.53254,1.23328,0.81595,1.08436,0.000620545,0.000620545,0.000620545
41,154.039,1.20021,0.73811,1.08369,0.80969,0.90417,0.91063,0.52351,1.25026,0.81864,1.09706,0.000616738,0.000616738,0.000616738
42,157.71,1.13558,0.66394,1.06942,0.92689,0.85841,0.93409,0.52843,1.2099,0.76364,1.0733,0.000612931,0.000612931,0.000612931
43,161.393,1.13927,0.68281,1.05476,0.87317,0.86726,0.91919,0.54206,1.18809,0.71079,1.06706,0.000609125,0.000609125,0.000609125
44,165.01,1.13722,0.6552,1.06341,0.92625,0.85891,0.90616,0.52905,1.2307,0.70926,1.09439,0.000605318,0.000605318,0.000605318
45,168.595,1.12944,0.62865,1.05432,0.8804,0.87598,0.89086,0.5342,1.22096,0.78234,1.07123,0.000601512,0.000601512,0.000601512
46,172.211,1.18522,0.6757,1.09725,0.87374,0.87931,0.90101,0.5352,1.22041,0.72955,1.08893,0.000597705,0.000597705,0.000597705
47,175.8,1.1599,0.6286,1.08449,0.86502,0.84094,0.9022,0.52287,1.29983,0.81322,1.10309,0.000593899,0.000593899,0.000593899
48,179.42,1.14773,0.67034,1.08386,0.81053,0.84333,0.85446,0.50244,1.23128,0.82157,1.08706,0.000590092,0.000590092,0.000590092
49,183.05,1.14892,0.65054,1.08467,0.85963,0.83267,0.87969,0.50602,1.28233,0.7842,1.10278,0.000586286,0.000586286,0.000586286
50,186.676,1.17827,0.6493,1.07408,0.93377,0.87506,0.93008,0.57156,1.28504,0.69506,1.09684,0.000582479,0.000582479,0.000582479
51,190.76,1.15952,0.68382,1.06865,0.89207,0.91201,0.93665,0.55939,1.24442,0.72184,1.07873,0.000578672,0.000578672,0.000578672
52,194.513,1.1684,0.69471,1.08817,0.92254,0.84266,0.92833,0.54548,1.27374,0.73683,1.09968,0.000574866,0.000574866,0.000574866
53,198.101,1.12754,0.65984,1.07362,0.90572,0.85626,0.93589,0.56586,1.26303,0.72378,1.08946,0.000571059,0.000571059,0.000571059
54,201.768,1.13423,0.63413,1.03734,0.90951,0.90673,0.94119,0.57723,1.19702,0.71232,1.05132,0.000567253,0.000567253,0.000567253
55,206.323,1.15579,0.61675,1.08602,0.92884,0.90667,0.94653,0.58528,1.24595,0.68672,1.09385,0.000563446,0.000563446,0.000563446
56,210.35,1.15144,0.64085,1.08679,0.92463,0.88979,0.93435,0.57966,1.24047,0.70033,1.09669,0.00055964,0.00055964,0.00055964
57,213.947,1.13419,0.67914,1.07219,0.90681,0.92762,0.94155,0.56394,1.23615,0.67584,1.09612,0.000555833,0.000555833,0.000555833
58,217.566,1.15637,0.65861,1.0875,0.8881,0.91111,0.94845,0.60262,1.21896,0.65769,1.08147,0.000552027,0.000552027,0.000552027
59,221.542,1.1306,0.64588,1.07111,0.83873,0.90886,0.94637,0.59666,1.24116,0.70309,1.09433,0.00054822,0.00054822,0.00054822
60,225.201,1.13139,0.66513,1.06692,0.93649,0.92433,0.94185,0.59152,1.20992,0.64857,1.07125,0.000544414,0.000544414,0.000544414
61,228.79,1.13979,0.63157,1.05527,0.93107,0.89661,0.9336,0.57824,1.2429,0.67127,1.08437,0.000540607,0.000540607,0.000540607
62,232.416,1.07356,0.59952,1.05014,0.85888,0.91923,0.92122,0.58204,1.26021,0.65034,1.10105,0.0005368,0.0005368,0.0005368
63,236.02,1.05686,0.58848,1.0361,0.90967,0.8952,0.90928,0.5694,1.23894,0.66479,1.08342,0.000532994,0.000532994,0.000532994
64,239.643,1.0923,0.64043,1.01591,0.85258,0.90591,0.9095,0.55056,1.25859,0.68176,1.10389,0.000529187,0.000529187,0.000529187
65,243.229,1.06029,0.59456,1.03231,0.83239,0.90537,0.90536,0.55241,1.23964,0.6855,1.08982,0.000525381,0.000525381,0.000525381
66,246.866,1.085,0.59693,1.00682,0.9553,0.8782,0.92878,0.57016,1.2095,0.6779,1.07198,0.000521574,0.000521574,0.000521574
67,250.48,1.12328,0.64816,1.06729,0.88153,0.89085,0.92901,0.56456,1.25777,0.68945,1.09388,0.000517768,0.000517768,0.000517768
68,254.122,1.10368,0.62044,1.04229,0.86858,0.88335,0.92064,0.55524,1.27906,0.73074,1.10976,0.000513961,0.000513961,0.000513961
69,257.717,1.04437,0.58003,1.02649,0.87352,0.88375,0.91789,0.5642,1.24312,0.78994,1.08541,0.000510155,0.000510155,0.000510155
70,261.344,1.07025,0.58338,1.05127,0.86816,0.87233,0.92151,0.5694,1.25101,0.73012,1.08427,0.000506348,0.000506348,0.000506348
71,264.952,1.06743,0.58314,1.02701,0.8647,0.89262,0.9131,0.53167,1.26467,0.7064,1.11029,0.000502541,0.000502541,0.000502541
72,268.578,1.06165,0.57438,1.03683,0.92573,0.89719,0.91733,0.54787,1.29576,0.6848,1.12838,0.000498735,0.000498735,0.000498735
73,272.165,1.0693,0.59316,1.01547,0.89099,0.8905,0.91196,0.54293,1.30205,0.72999,1.11475,0.000494928,0.000494928,0.000494928
74,275.794,1.08799,0.58936,1.03493,0.89328,0.85921,0.91258,0.55215,1.28323,0.74197,1.09851,0.000491122,0.000491122,0.000491122
75,279.432,1.09616,0.60197,1.03902,0.89431,0.86528,0.90691,0.53912,1.29541,0.74867,1.11187,0.000487315,0.000487315,0.000487315
76,283.103,1.04564,0.57072,1.00069,0.92065,0.90206,0.93918,0.56094,1.25626,0.70114,1.08667,0.000483509,0.000483509,0.000483509
77,286.641,1.08456,0.60848,1.05482,0.89307,0.90992,0.94674,0.54641,1.28842,0.69701,1.10028,0.000479702,0.000479702,0.000479702
78,290.298,1.00777,0.55627,1.02396,0.92938,0.90654,0.95373,0.55687,1.25282,0.67882,1.08164,0.000475896,0.000475896,0.000475896
79,293.932,1.08094,0.62549,1.04658,0.94283,0.89663,0.93749,0.54284,1.27649,0.64327,1.09587,0.000472089,0.000472089,0.000472089
80,297.57,1.0855,0.58991,1.05898,0.92874,0.86928,0.93856,0.56875,1.25052,0.66622,1.08629,0.000468283,0.000468283,0.000468283
81,301.154,1.06368,0.56795,1.02748,0.93948,0.88493,0.93536,0.56951,1.25053,0.66371,1.08506,0.000464476,0.000464476,0.000464476
82,304.843,1.06279,0.58752,1.01922,0.94052,0.88345,0.92989,0.54347,1.25324,0.6838,1.10034,0.000460669,0.000460669,0.000460669
83,308.535,1.06758,0.56627,1.02567,0.95717,0.85646,0.93261,0.57533,1.23185,0.66685,1.08586,0.000456863,0.000456863,0.000456863
84,312.185,1.09677,0.58796,1.04735,0.89351,0.92406,0.95086,0.57766,1.22088,0.6525,1.08577,0.000453056,0.000453056,0.000453056
85,315.753,1.09162,0.59702,1.0577,0.89013,0.91164,0.94584,0.58347,1.20105,0.6581,1.07993,0.00044925,0.00044925,0.00044925
86,319.422,1.08352,0.59755,1.048,0.9366,0.9167,0.95524,0.58436,1.20755,0.64371,1.07721,0.000445443,0.000445443,0.000445443
87,323.051,1.06287,0.56133,1.03767,0.88641,0.89997,0.9449,0.56762,1.22042,0.69778,1.07881,0.000441637,0.000441637,0.000441637
88,326.705,1.01643,0.53185,1.01767,0.91836,0.90047,0.94619,0.56562,1.25069,0.66907,1.11247,0.00043783,0.00043783,0.00043783
89,330.269,1.06662,0.55417,1.03137,0.93807,0.91686,0.94791,0.55612,1.25626,0.67019,1.10917,0.000434024,0.000434024,0.000434024
90,333.895,1.0311,0.56151,1.02265,0.94549,0.83583,0.91918,0.54536,1.25253,0.69928,1.10216,0.000430217,0.000430217,0.000430217
91,337.517,1.05062,0.54117,1.03127,0.94641,0.84567,0.94511,0.53354,1.2861,0.70189,1.12015,0.000426411,0.000426411,0.000426411
92,341.194,1.06804,0.59187,1.02517,0.9233,0.91396,0.95442,0.55594,1.23268,0.66462,1.09314,0.000422604,0.000422604,0.000422604
93,344.797,1.02521,0.56652,1.01834,0.95841,0.88835,0.9538,0.56111,1.25934,0.65942,1.10061,0.000418797,0.000418797,0.000418797
94,348.492,1.05278,0.5963,1.05988,0.95812,0.89888,0.95631,0.56556,1.22819,0.65259,1.08435,0.000414991,0.000414991,0.000414991
95,352.195,1.036,0.5508,1.02179,0.92736,0.89074,0.93376,0.57475,1.2017,0.65328,1.06773,0.000411184,0.000411184,0.000411184
96,355.892,1.01946,0.54268,1.03376,0.92158,0.89976,0.95253,0.60362,1.22846,0.62483,1.06728,0.000407378,0.000407378,0.000407378
97,360.639,1.01517,0.55706,1.0276,0.9491,0.89787,0.95564,0.6016,1.21181,0.60771,1.06404,0.000403571,0.000403571,0.000403571
98,364.257,1.03736,0.54736,1.00794,0.89532,0.91488,0.95501,0.58514,1.2135,0.64669,1.06907,0.000399765,0.000399765,0.000399765
