epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.11881,3.08622,4.96383,1.40676,0,0,0,0,2.8561,4.55892,1.14582,0,0,0
2,3.03497,3.2215,4.73835,1.32016,0,0,0,0,2.82903,4.57206,1.15018,7.65193e-06,7.65193e-06,7.65193e-06
3,6.71331,2.71719,4.58366,1.38774,0.00219,0.00625,0.00116,0.00035,2.79487,4.58334,1.14169,1.52277e-05,1.52277e-05,1.52277e-05
4,13.3935,2.66549,4.66147,1.4556,0.00205,0.00625,0.00109,0.00033,2.7268,4.58776,1.10872,2.27274e-05,2.27274e-05,2.27274e-05
5,14.3807,3.19419,4.74509,1.43993,0.00202,0.00625,0.00108,0.00032,2.6781,4.58038,1.08631,3.0151e-05,3.0151e-05,3.0151e-05
6,17.5271,2.50291,4.80284,1.49889,0.00195,0.00625,0.00105,0.00021,2.65657,4.5831,1.07508,3.74984e-05,3.74984e-05,3.74984e-05
7,18.9778,3.00854,4.77535,1.31092,0.00179,0.00625,0.00096,0.00029,2.69019,4.55955,1.06413,4.47696e-05,4.47696e-05,4.47696e-05
8,20.3625,3.13916,4.81208,1.46874,0.00174,0.00625,0.00093,0.00028,2.66277,4.56639,1.06114,5.19648e-05,5.19648e-05,5.19648e-05
9,21.8907,3.25878,4.89314,1.37363,0.00347,0.0125,0.00194,0.00038,2.6781,4.58923,1.07233,5.90838e-05,5.90838e-05,5.90838e-05
10,27.8314,2.73844,4.73826,1.36144,0.00259,0.01458,0.00154,0.00086,2.66621,4.28304,0.97874,6.61267e-05,6.61267e-05,6.61267e-05
11,36.0177,2.72365,4.12837,1.23455,0.01379,0.08648,0.00993,0.00261,2.74199,4.1934,0.9756,7.30935e-05,7.30935e-05,7.30935e-05
12,54.3358,2.45003,3.68275,1.10342,0.22441,0.02639,0.02639,0.00657,2.91298,4.61918,0.96985,7.99841e-05,7.99841e-05,7.99841e-05
13,68.9138,2.23649,3.4372,1.06661,0.14694,0.10343,0.01635,0.00477,3.0472,5.06587,1.01214,8.67986e-05,8.67986e-05,8.67986e-05
14,74.8851,2.07858,2.7866,0.98538,0.12533,0.13141,0.06187,0.02919,2.87278,7.00105,0.99895,9.35369e-05,9.35369e-05,9.35369e-05
15,88.1527,2.05103,2.33465,0.98092,0.22055,0.14228,0.10074,0.04573,2.55074,9.74041,0.96212,0.000100199,0.000100199,0.000100199
16,90.4723,1.93837,2.21751,0.95863,0.19474,0.12733,0.09902,0.0513,2.38975,8.90379,0.9507,0.000106785,0.000106785,0.000106785
17,99.5219,1.78073,1.7442,0.9195,0.4635,0.16483,0.09965,0.04192,2.41236,7.7567,0.94308,0.000113295,0.000113295,0.000113295
18,105.638,1.80965,2.11836,0.95769,0.4635,0.16483,0.09965,0.04192,2.41236,7.7567,0.94308,0.000119729,0.000119729,0.000119729
19,111.846,1.90577,1.63452,0.93212,0.46077,0.19853,0.09813,0.04112,2.42432,5.94419,0.95815,0.000126087,0.000126087,0.000126087
20,118.233,1.81301,1.54814,0.91183,0.46077,0.19853,0.09813,0.04112,2.42432,5.94419,0.95815,0.000132368,0.000132368,0.000132368
21,125.091,1.71088,1.63653,0.91157,0.47251,0.13738,0.11674,0.05017,2.30903,5.8478,0.95104,0.000138574,0.000138574,0.000138574
22,131.029,1.61887,1.51458,0.91706,0.47251,0.13738,0.11674,0.05017,2.30903,5.8478,0.95104,0.000144703,0.000144703,0.000144703
23,133.804,1.81578,1.52309,0.90432,0.6036,0.15012,0.14716,0.07657,1.93782,5.6576,0.90779,0.000150756,0.000150756,0.000150756
24,142.25,1.68292,1.52953,0.9053,0.6036,0.15012,0.14716,0.07657,1.93782,5.6576,0.90779,0.000156733,0.000156733,0.000156733
25,154.853,1.48961,1.26999,0.89969,0.12999,0.35882,0.25017,0.14343,1.60685,4.29805,0.85217,0.000162634,0.000162634,0.000162634
26,162.108,1.24148,1.16484,0.89008,0.12999,0.35882,0.25017,0.14343,1.60685,4.29805,0.85217,0.000168459,0.000168459,0.000168459
27,175.217,1.37655,1.15617,0.87442,0.45183,0.3201,0.28526,0.16873,1.45622,2.93425,0.83788,0.000174208,0.000174208,0.000174208
28,187.522,1.43681,1.22966,0.87096,0.45183,0.3201,0.28526,0.16873,1.45622,2.93425,0.83788,0.00017988,0.00017988,0.00017988
29,200.184,1.56715,1.33271,0.88852,0.22593,0.38113,0.29903,0.17476,1.53706,2.52734,0.84895,0.000185477,0.000185477,0.000185477
30,202.599,1.4173,1.27561,0.87681,0.22593,0.38113,0.29903,0.17476,1.53706,2.52734,0.84895,0.000190997,0.000190997,0.000190997
31,216.161,1.31504,1.08955,0.94303,0.35116,0.31649,0.35734,0.20071,1.5119,2.33061,0.83879,0.000196441,0.000196441,0.000196441
32,226.089,2.17732,1.52383,0.8821,0.35116,0.31649,0.35734,0.20071,1.5119,2.33061,0.83879,0.000201809,0.000201809,0.000201809
33,240.602,1.50051,1.20742,0.87598,0.10771,0.30376,0.17323,0.09816,1.8039,4.54672,0.87704,0.000207101,0.000207101,0.000207101
34,247.497,1.55638,1.26935,0.87253,0.10771,0.30376,0.17323,0.09816,1.8039,4.54672,0.87704,0.000212317,0.000212317,0.000212317
35,249.141,1.45431,1.21246,0.87858,0.26025,0.21586,0.12891,0.06624,1.98104,9.17774,0.8848,0.000217456,0.000217456,0.000217456
36,256.398,1.53948,1.17111,0.8731,0.26025,0.21586,0.12891,0.06624,1.98104,9.17774,0.8848,0.00022252,0.00022252,0.00022252
37,258.078,1.34061,1.00274,0.87978,0.23434,0.21588,0.16171,0.08741,1.74332,9.0421,0.85915,0.000227507,0.000227507,0.000227507
38,263.302,1.37024,1.00112,0.88886,0.23434,0.21588,0.16171,0.08741,1.74332,9.0421,0.85915,0.000232418,0.000232418,0.000232418
39,275.159,1.52359,1.13838,0.87776,0.28287,0.16118,0.20529,0.08222,1.7812,24.4209,0.90826,0.000237253,0.000237253,0.000237253
40,282.995,1.37986,1.04733,0.86564,0.28287,0.16118,0.20529,0.08222,1.7812,24.4209,0.90826,0.000242012,0.000242012,0.000242012
41,288.036,1.36823,1.08958,0.85179,0.12588,0.0261,0.07235,0.04849,1.85599,66.4675,0.96704,0.000246695,0.000246695,0.000246695
42,290.181,1.29346,0.95127,0.87586,0.12588,0.0261,0.07235,0.04849,1.85599,66.4675,0.96704,0.000251302,0.000251302,0.000251302
43,296.165,1.54013,0.96208,0.84165,0,0,0,0,2.11411,192.682,0.99391,0.000255832,0.000255832,0.000255832
44,298.32,1.48543,1.25529,0.87178,0,0,0,0,2.11411,192.682,0.99391,0.000260287,0.000260287,0.000260287
45,299.928,1.3824,0.96731,0.92421,0.125,0.03125,0.07812,0.04366,1.76708,86.5749,0.89679,0.000264665,0.000264665,0.000264665
46,306.914,1.26373,0.90032,0.87037,0.125,0.03125,0.07812,0.04366,1.76708,86.5749,0.89679,0.000268967,0.000268967,0.000268967
47,308.575,1.22594,0.87626,0.8729,0.18002,0.10157,0.13694,0.08922,1.53929,18.4383,0.85323,0.000273193,0.000273193,0.000273193
48,319.685,1.31488,0.91869,0.87384,0.18002,0.10157,0.13694,0.08922,1.53929,18.4383,0.85323,0.000277343,0.000277343,0.000277343
49,326.264,1.27818,0.86803,0.86592,0.26945,0.18324,0.19404,0.0905,1.55703,9.12395,0.87077,0.000281417,0.000281417,0.000281417
50,332.982,1.13882,0.77722,0.87013,0.26945,0.18324,0.19404,0.0905,1.55703,9.12395,0.87077,0.000285415,0.000285415,0.000285415
51,339.668,1.61108,1.03462,0.84154,0.15,0.0462,0.09712,0.07304,1.70703,56.7167,0.94805,0.000289336,0.000289336,0.000289336
52,341.479,1.18071,0.78276,0.85293,0.15,0.0462,0.09712,0.07304,1.70703,56.7167,0.94805,0.000293182,0.000293182,0.000293182
53,346.704,1.17864,0.75973,0.87055,0.15,0.0462,0.09712,0.07304,1.70703,56.7167,0.94805,0.000296951,0.000296951,0.000296951
54,353.939,1.18619,0.77621,0.85345,0.22727,0.06605,0.14647,0.09668,1.56726,66.1855,0.88844,0.000300644,0.000300644,0.000300644
55,361.132,1.38596,0.88441,0.86798,0.22727,0.06605,0.14647,0.09668,1.56726,66.1855,0.88844,0.000304261,0.000304261,0.000304261
56,368.294,1.26252,0.79574,0.84416,0.22727,0.06605,0.14647,0.09668,1.56726,66.1855,0.88844,0.000307802,0.000307802,0.000307802
57,370.242,1.17814,0.69964,0.87602,0.34756,0.3291,0.2565,0.1511,1.36728,28.7606,0.84528,0.000311267,0.000311267,0.000311267
58,375.826,1.47842,1.01901,0.82698,0.34756,0.3291,0.2565,0.1511,1.36728,28.7606,0.84528,0.000314655,0.000314655,0.000314655
59,383.196,1.28243,0.78382,0.84659,0.34756,0.3291,0.2565,0.1511,1.36728,28.7606,0.84528,0.000317968,0.000317968,0.000317968
