epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.05137,6.92761,27.231,4.54557,0,0,0,0,6.92579,4.68633,4.15983,0,0,0
2,2.64731,6.589,5.79701,4.40316,0,0,0,0,6.9258,4.68685,4.16008,7.61387e-06,7.61387e-06,7.61387e-06
3,3.32669,6.63951,7.27004,4.56542,0,0,0,0,6.9258,4.68692,4.1613,1.50755e-05,1.50755e-05,1.50755e-05
4,4.01308,6.55403,5.7604,4.32026,0,0,0,0,6.92596,4.68215,4.16163,2.23848e-05,2.23848e-05,2.23848e-05
5,4.6154,6.3846,5.42148,4.32948,0,0,0,0,6.926,4.68514,4.16217,2.95419e-05,2.95419e-05,2.95419e-05
6,5.21618,6.63927,8.60223,4.31558,0,0,0,0,6.92599,4.6853,4.16374,3.65467e-05,3.65467e-05,3.65467e-05
7,6.40859,5.68759,5.30328,4.29281,0,0,0,0,6.92609,4.69053,4.16415,4.33993e-05,4.33993e-05,4.33993e-05
8,7.34147,6.598,6.85082,4.29475,0,0,0,0,6.9261,4.69053,4.16499,5.00996e-05,5.00996e-05,5.00996e-05
9,8.24667,6.60789,6.81803,4.25434,0,0,0,0,6.927,4.69249,4.16538,5.66476e-05,5.66476e-05,5.66476e-05
10,8.88561,5.94103,6.1221,4.26663,0,0,0,0,6.92738,4.69045,4.16637,6.30434e-05,6.30434e-05,6.30434e-05
11,9.53295,6.79016,6.96085,4.16615,0,0,0,0,6.92737,4.69061,4.16831,6.92869e-05,6.92869e-05,6.92869e-05
12,10.1538,6.34627,6.06823,4.27152,0,0,0,0,6.9274,4.68448,4.16924,7.53781e-05,7.53781e-05,7.53781e-05
13,10.7916,6.54672,7.876,4.00737,0,0,0,0,6.92755,4.68579,4.17059,8.13171e-05,8.13171e-05,8.13171e-05
14,11.4115,6.61694,8.15054,4.17152,0,0,0,0,6.92758,4.68328,4.17111,8.71039e-05,8.71039e-05,8.71039e-05
15,12.1655,6.48845,6.40815,4.1357,0,0,0,0,6.92906,4.67938,4.17331,9.27383e-05,9.27383e-05,9.27383e-05
16,12.8233,6.3209,5.09559,4.0137,0,0,0,0,6.92922,4.68097,4.17534,9.82205e-05,9.82205e-05,9.82205e-05
17,13.4695,5.91996,6.74293,4.04855,0,0,0,0,6.92941,4.67543,4.1775,0.00010355,0.00010355,0.00010355
18,14.1846,5.39152,4.9657,3.92898,0,0,0,0,6.92941,4.67543,4.1775,0.000108728,0.000108728,0.000108728
19,14.9159,5.5357,5.07019,4.01041,0,0,0,0,6.93056,4.68352,4.18217,0.000113754,0.000113754,0.000113754
20,15.4889,6.10669,5.12287,3.93821,0,0,0,0,6.93056,4.68352,4.18217,0.000118627,0.000118627,0.000118627
21,16.4182,5.88644,5.43837,3.90936,0,0,0,0,6.93073,4.68503,4.18591,0.000123348,0.000123348,0.000123348
22,17.0919,6.33334,6.89181,4.24658,0,0,0,0,6.93073,4.68503,4.18591,0.000127916,0.000127916,0.000127916
23,17.7012,6.04921,5.39611,3.85875,0,0,0,0,6.9312,4.68724,4.19184,0.000132333,0.000132333,0.000132333
24,18.4564,6.17279,5.00259,3.86223,0,0,0,0,6.9312,4.68724,4.19184,0.000136597,0.000136597,0.000136597
25,19.4664,6.24021,5.46631,3.84618,0,0,0,0,6.93335,4.69337,4.19806,0.000140709,0.000140709,0.000140709
26,20.483,6.14419,7.32481,3.73524,0,0,0,0,6.93335,4.69337,4.19806,0.000144668,0.000144668,0.000144668
27,21.3292,5.54348,7.52848,3.6826,0,0,0,0,6.93418,4.69635,4.20557,0.000148475,0.000148475,0.000148475
28,21.9139,6.27055,5.94388,3.96285,0,0,0,0,6.93418,4.69635,4.20557,0.000152131,0.000152131,0.000152131
29,22.571,5.81008,5.26913,3.67169,0,0,0,0,6.93505,4.69434,4.21223,0.000155633,0.000155633,0.000155633
30,23.2248,5.71098,5.90357,3.67191,0,0,0,0,6.93505,4.69434,4.21223,0.000158984,0.000158984,0.000158984
31,23.8682,6.24938,5.47034,3.92065,0,0,0,0,6.93589,4.70174,4.22056,0.000162182,0.000162182,0.000162182
32,24.5285,5.8981,5.38644,3.87421,0,0,0,0,6.93589,4.70174,4.22056,0.000165228,0.000165228,0.000165228
33,25.2537,6.0804,5.89506,3.79458,0,0,0,0,6.93914,4.69133,4.23036,0.000168122,0.000168122,0.000168122
34,26.1854,5.65724,5.04212,3.70634,0,0,0,0,6.93914,4.69133,4.23036,0.000170863,0.000170863,0.000170863
35,26.8207,5.77118,5.12918,3.53301,0,0,0,0,6.93991,4.69696,4.24082,0.000173453,0.000173453,0.000173453
36,27.5179,6.30634,5.2494,3.81304,0,0,0,0,6.93991,4.69696,4.24082,0.00017589,0.00017589,0.00017589
37,28.1418,5.19084,4.65515,3.68866,0,0,0,0,6.94333,4.70424,4.2531,0.000178174,0.000178174,0.000178174
38,28.8041,5.18296,5.48669,3.56885,0,0,0,0,6.94333,4.70424,4.2531,0.000180307,0.000180307,0.000180307
39,29.4283,5.69305,4.96275,3.68978,0,0,0,0,6.94462,4.68862,4.2658,0.000182287,0.000182287,0.000182287
40,30.0492,5.46578,4.75027,3.57281,0,0,0,0,6.94462,4.68862,4.2658,0.000184115,0.000184115,0.000184115
